iter	RMSE
0	1.436614109
1	1.357953286
2	1.285769901
3	1.215522563
4	1.148726415
5	1.088996912
6	1.03249278
7	0.9761474221
8	0.9260128805
9	0.8758823868
10	0.8286823401
11	0.7852018437
12	0.74551123
13	0.7083291004
14	0.6711080094
15	0.6375473567
16	0.6066843536
17	0.5757887456
18	0.5476010315
19	0.5227486597
20	0.4970364688
21	0.4727345189
22	0.4500417838
23	0.4288192168
24	0.4106941703
25	0.3936585921
26	0.3777144879
27	0.3612827816
28	0.3477150683
29	0.3335480026
30	0.3205885032
31	0.3094004042
32	0.2977834754
33	0.2885882423
34	0.278532549
35	0.269224432
36	0.260703168
37	0.2536750137
38	0.2473865566
39	0.2405882219
40	0.2345713101
41	0.2289806328
42	0.2236589851
43	0.2194468603
44	0.2149724222
45	0.21098218
46	0.2073152376
47	0.2039096862
48	0.2013946638
49	0.1985237435
50	0.1958571579
51	0.1933771818
52	0.1913922373
53	0.1896457336
54	0.1879542858
55	0.1866051606
56	0.1851016224
57	0.1837049659
58	0.1826012794
59	0.1816919599
60	0.1805988107
61	0.179508431
62	0.1785949803
63	0.1777788458
64	0.1770305994
65	0.1765409479
66	0.1759993054
67	0.1754550611
68	0.175016713
69	0.1744745242
70	0.1741492206
71	0.173836871
72	0.1734275619
73	0.1732122134
74	0.1728546082
75	0.1725536034
76	0.1722080338
77	0.1719938348
78	0.1717537924
79	0.1714481311
80	0.1713411401
81	0.1710969041
82	0.1708435817
83	0.1705670775
84	0.1703797076
85	0.1702509648
86	0.1700732013
87	0.1699072749
88	0.1698220027
89	0.1697083196
90	0.1696130035
91	0.1694066808
92	0.1692629343
93	0.1691524492
94	0.1690636599
95	0.1690061964
96	0.1689453923
97	0.168911728
98	0.1687988192
99	0.1686966933
100	0.1685899344
101	0.1685050624
102	0.1684206369
103	0.168295802
104	0.1682184365
105	0.1681698076
106	0.16809112
107	0.1680445565
108	0.1680147401
109	0.1679078829
110	0.1678390333
111	0.16775452
112	0.1676176509
113	0.1675631896
114	0.1675174173
115	0.1674679025
116	0.1673841633
117	0.1673243748
118	0.1672601037
119	0.1672247709
120	0.1671412974
121	0.1670598774
122	0.1669859156
123	0.1669708163
124	0.1668830782
125	0.1668651044
126	0.1667741441
127	0.1667479751
128	0.1666680319
129	0.1666286204
130	0.166579387
131	0.1664800641
132	0.1664208121
133	0.1664078043
134	0.1663729142
135	0.1663303501
136	0.1662517204
137	0.1662081926
138	0.1661528445
139	0.1661252651
140	0.1660433379
141	0.165989218
142	0.1659220316
143	0.1658799598
144	0.1658534512
145	0.1658113232
146	0.1657515529
147	0.1657120739
148	0.1656869406
149	0.1655754701
150	0.1655603706
151	0.165498357
152	0.1654807105
153	0.1653912796
154	0.1653753813
155	0.1653094638
156	0.1652700735
157	0.1651942941
158	0.1651636886
159	0.1651001645
160	0.1650483753
161	0.1649730742
162	0.1649058162
163	0.1648645997
164	0.1648197304
165	0.1647688608
166	0.1647067486
167	0.1646345967
168	0.1646072469
169	0.1645955241
170	0.1645576547
171	0.1645027807
172	0.1644463129
173	0.1643657435
174	0.1642722529
175	0.1642529156
176	0.1642491129
177	0.1642141153
178	0.1641974748
179	0.1641108487
180	0.1640681931
181	0.164018021
182	0.1639315607
183	0.163868396
184	0.1638621205
185	0.1638584266
186	0.1637897403
187	0.1637689222
188	0.1637511163
189	0.1637407438
190	0.1637208709
191	0.1637050351
192	0.1636847074
193	0.1636793087
194	0.163634756
195	0.1635892565
196	0.1634705102
197	0.1634355365
198	0.1633757754
199	0.163283991
200	0.163251734
201	0.1631837766
202	0.1631787233
203	0.1631738924
204	0.1631316034
205	0.1630827403
206	0.163073515
207	0.1630698233
208	0.1630133282
209	0.1629839064
210	0.1629014059
211	0.16289818
212	0.1628141214
213	0.1628105517
214	0.1627421665
215	0.1627384024
216	0.1626852216
217	0.1626820579
218	0.1626786237
219	0.1626755918
220	0.1626211553
221	0.1625523866
222	0.1625094465
223	0.1624576757
224	0.1624179478
225	0.1623431517
226	0.1623226744
227	0.1623201485
228	0.1622449856
229	0.1622408169
230	0.1621504051
231	0.1621475982
232	0.1620932695
233	0.1620908579
234	0.162055141
235	0.1620357601
236	0.1620149376
237	0.1619550196
238	0.1618954072
239	0.1618572934
240	0.1618280501
241	0.1618074371
242	0.1617335995
243	0.1616742157
244	0.161619779
245	0.1615807297
246	0.1615547578
247	0.1615103008
248	0.1614690828
249	0.1613565296
250	0.161299913
251	0.1612654287
252	0.1612231932
253	0.1611785845
254	0.1611462985
255	0.1611184008
256	0.1610753772
257	0.1610568883
258	0.1610350164
259	0.1610227601
260	0.1609855122
261	0.1609814542
262	0.16097924
263	0.1609444718
264	0.1609350248
265	0.1608592891
266	0.1608248002
267	0.1608042233
268	0.1608020785
269	0.1607999924
270	0.1607370619
271	0.160693072
272	0.1606893734
273	0.1606873305
274	0.1606692124
275	0.1606656885
276	0.1606438297
277	0.1606050941
278	0.1605138873
279	0.1605118966
280	0.1604252347
281	0.16035807
282	0.1603106658
283	0.1602747444
284	0.1601878603
285	0.1601489049
286	0.1600704133
287	0.160044323
288	0.1600152947
289	0.1600133526
290	0.1600096659
291	0.1599068486
292	0.1598701737
293	0.1598472655
294	0.1598126813
295	0.1598107726
296	0.1597637721
297	0.1597379278
298	0.1597307253
299	0.1597288558
300	0.1597255864
301	0.1596321124
302	0.1595998786
303	0.1595732009
304	0.1594981071
305	0.1594858424
306	0.1594840092
307	0.1594256922
308	0.1594239041
309	0.1593841124
310	0.1593483474
311	0.1593272409
312	0.1593242193
313	0.1592818209
314	0.1591852659
315	0.1591631885
316	0.1591428205
317	0.1591116494
318	0.1589975133
319	0.1589650479
320	0.1589632648
321	0.1589352165
322	0.158882347
323	0.1588582496
324	0.1588552594
325	0.1588350767
326	0.1588125811
327	0.1587575976
328	0.158746882
329	0.1587452506
330	0.1587435454
331	0.1587234621
332	0.1587205916
333	0.1587189032
334	0.158662631
335	0.1586610958
336	0.158659602
337	0.1586276585
338	0.158579311
339	0.158517678
340	0.1584938751
341	0.158426928
342	0.1584195691
343	0.1583946692
344	0.1583496123
345	0.1583469054
346	0.1583454509
347	0.1582694773
348	0.158268068
349	0.15821288
350	0.1581890403
351	0.15816801
352	0.1581629286
353	0.1581095278
354	0.1580258933
355	0.1579851998
356	0.1579836751
357	0.1579163674
358	0.157908524
359	0.1578784275
360	0.1578459293
361	0.157844581
362	0.1578125107
363	0.157758826
364	0.1577112337
365	0.1576734722
366	0.1576369105
367	0.1575696274
368	0.1575413807
369	0.1575124496
370	0.1574963083
371	0.1574948654
372	0.1574445764
373	0.1574421623
374	0.1574014718
375	0.1574000658
376	0.1573493154
377	0.1572818351
378	0.1572536025
379	0.1572288319
380	0.1571890343
381	0.1571876527
382	0.1571800089
383	0.1571293935
384	0.1571038371
385	0.1570848175
386	0.1570551556
387	0.1570465921
388	0.1570403421
389	0.157038995
390	0.1569919487
391	0.1569701398
392	0.1568937259
393	0.156883791
394	0.1568702925
395	0.1568680498
396	0.1568667725
397	0.156826343
398	0.1567852617
399	0.1567524197
400	0.156751229
401	0.1567007317
402	0.1566687247
403	0.1566421658
404	0.1566408724
405	0.1566143715
406	0.1566130989
407	0.1565894665
408	0.1565735663
409	0.1565723627
410	0.1565202093
411	0.1564640063
412	0.1564627691
413	0.1564329158
414	0.156389998
415	0.1563764923
416	0.1563250298
417	0.1562527219
418	0.1562163263
419	0.1561589946
420	0.1561409763
421	0.1561039476
422	0.1561017467
423	0.1560854148
424	0.1560732942
425	0.1560712049
426	0.1560329633
427	0.1559984684
428	0.1559695184
429	0.1559229624
430	0.1558659115
431	0.1558647436
432	0.1558159354
433	0.1557996333
434	0.1557461676
435	0.1557243978
436	0.155696535
437	0.155669309
438	0.1556344252
439	0.1556109668
440	0.1555736249
441	0.1555724839
442	0.1555142941
443	0.1554789773
444	0.1554435628
445	0.1553899169
446	0.1553750114
447	0.1553730616
448	0.1553371075
449	0.1553138654
450	0.1552696383
451	0.1552613467
452	0.1551937322
453	0.1551926049
454	0.1551659075
455	0.1551618694
456	0.1551335558
457	0.1550855235
458	0.1550147577
459	0.1549995236
460	0.1549802598
461	0.1549682921
462	0.1549473641
463	0.1549062402
464	0.1549049996
465	0.154900542
466	0.1548599628
467	0.1547989194
468	0.1547679154
469	0.1547143038
470	0.1547082812
471	0.1546902004
472	0.1546637748
473	0.1546174906
474	0.154615566
475	0.1546143533
476	0.1545766941
477	0.1545130033
478	0.1544913077
479	0.1544381208
480	0.1544020523
481	0.1543826291
482	0.1543814364
483	0.1543454799
484	0.1543443118
485	0.1543179334
486	0.1543161269
487	0.1542947765
488	0.1542793378
489	0.1542633338
490	0.1542462136
491	0.1542091196
492	0.1541577505
493	0.1541017482
494	0.1540659343
495	0.1540119187
496	0.1539774925
497	0.153976345
498	0.153894211
499	0.1538930803
500	0.1538440949
501	0.1538126775
502	0.1537964982
503	0.1537769348
504	0.1537463508
505	0.1537075347
506	0.1536630206
507	0.1536460561
508	0.1535837052
509	0.1535825826
510	0.1535807617
511	0.1535464282
512	0.1534975145
513	0.1534964117
514	0.1534954237
515	0.1534647502
516	0.1534402037
517	0.1534098038
518	0.1533866124
519	0.1533364266
520	0.153326507
521	0.1533247754
522	0.1533042742
523	0.1532849383
524	0.1532451942
525	0.1532134741
526	0.1531600409
527	0.1531407248
528	0.1531182229
529	0.1531012931
530	0.1530720646
531	0.1530570556
