iter	Passed	Remaining
0	157	156893
1	160	80000
2	162	54022
3	165	41117
4	167	33410
5	169	28146
6	172	24415
7	174	21658
8	176	19452
9	178	17700
10	181	16298
11	183	15123
12	185	14117
13	188	13273
14	191	12551
15	192	11865
16	195	11293
17	198	10804
18	200	10335
19	202	9918
20	205	9598
21	208	9276
22	211	8967
23	215	8754
24	217	8478
25	220	8262
26	223	8046
27	225	7828
28	228	7657
29	231	7479
30	233	7295
31	235	7135
32	243	7134
33	246	6992
34	248	6856
35	251	6727
36	254	6614
37	256	6499
38	259	6404
39	262	6297
40	263	6171
41	266	6085
42	269	5996
43	271	5904
44	274	5830
45	277	5750
46	279	5664
47	282	5593
48	284	5524
49	286	5451
50	289	5383
51	292	5325
52	294	5257
53	296	5191
54	299	5137
55	301	5075
56	303	5016
57	305	4967
58	308	4914
59	310	4860
60	312	4808
61	315	4766
62	317	4718
63	319	4669
64	321	4629
65	324	4587
66	326	4543
67	328	4499
68	331	4468
69	333	4429
70	335	4388
71	337	4353
72	340	4321
73	342	4286
74	345	4260
75	348	4238
76	350	4206
77	353	4173
78	355	4145
79	357	4116
80	360	4086
81	362	4062
82	365	4033
83	367	4004
84	369	3979
85	371	3952
86	374	3925
87	376	3899
88	378	3874
89	380	3848
90	382	3823
91	385	3804
92	387	3782
93	390	3760
94	392	3739
95	395	3724
96	397	3702
97	399	3681
98	403	3669
99	405	3648
100	407	3626
101	410	3612
102	412	3592
103	414	3571
104	416	3551
105	419	3536
106	421	3516
107	423	3496
108	426	3485
109	428	3468
110	430	3449
111	433	3436
112	436	3422
113	438	3404
114	440	3387
115	442	3372
116	444	3356
117	446	3340
118	449	3329
119	452	3315
120	454	3298
121	456	3282
122	458	3269
123	460	3254
124	462	3239
125	465	3226
126	467	3212
127	469	3198
128	471	3183
129	473	3171
130	476	3158
131	478	3145
132	480	3133
133	483	3122
134	485	3107
135	487	3093
136	489	3083
137	491	3071
138	493	3059
139	496	3047
140	499	3045
141	502	3036
142	505	3028
143	508	3021
144	510	3012
145	513	3004
146	515	2994
147	518	2983
148	521	2976
149	523	2965
150	525	2953
151	528	2946
152	530	2936
153	532	2926
154	535	2918
155	538	2913
156	540	2903
157	543	2896
158	545	2886
159	547	2875
160	549	2866
161	552	2857
162	554	2847
163	556	2838
164	559	2829
165	561	2821
166	563	2812
167	566	2803
168	568	2795
169	570	2785
170	572	2775
171	574	2767
172	577	2759
173	579	2749
174	581	2740
175	583	2732
176	585	2723
177	587	2714
178	589	2705
179	592	2697
180	594	2689
181	596	2682
182	599	2676
183	602	2669
184	604	2661
185	606	2652
186	608	2646
187	610	2638
188	612	2629
189	615	2622
190	617	2615
191	619	2607
192	621	2599
193	624	2593
194	626	2587
195	629	2580
196	631	2576
197	634	2570
198	636	2562
199	639	2556
200	641	2550
201	643	2543
202	646	2536
203	648	2530
204	650	2524
205	652	2516
206	655	2510
207	657	2504
208	659	2497
209	662	2490
210	664	2485
211	666	2479
212	669	2472
213	672	2469
214	674	2463
215	676	2455
216	678	2449
217	681	2444
218	683	2438
219	685	2432
220	688	2428
221	691	2422
222	693	2415
223	696	2411
224	698	2405
225	700	2399
226	703	2393
227	705	2388
228	707	2382
229	709	2375
230	712	2370
231	714	2364
232	716	2358
233	718	2352
234	721	2347
235	723	2340
236	725	2334
237	727	2330
238	730	2324
239	732	2319
240	735	2315
241	737	2310
242	739	2304
243	741	2298
244	744	2293
245	746	2287
246	748	2281
247	750	2276
248	752	2270
249	754	2264
250	756	2258
251	759	2254
252	761	2249
253	763	2243
254	766	2238
255	768	2233
256	770	2227
257	772	2221
258	775	2218
259	777	2213
260	779	2207
261	781	2202
262	784	2197
263	786	2192
264	788	2187
265	791	2182
266	794	2179
267	796	2175
268	799	2171
269	801	2167
270	803	2161
271	805	2156
272	808	2154
273	810	2148
274	812	2142
275	815	2139
276	817	2134
277	819	2129
278	824	2131
279	827	2129
280	830	2124
281	833	2121
282	835	2116
283	837	2111
284	840	2107
285	842	2102
286	844	2097
287	846	2093
288	848	2088
289	850	2083
290	852	2077
291	855	2073
292	857	2069
293	859	2064
294	861	2059
295	863	2054
296	865	2049
297	868	2045
298	870	2041
299	873	2037
300	875	2032
301	877	2028
302	879	2023
303	881	2019
304	883	2013
305	885	2009
306	888	2005
307	890	2000
308	892	1996
309	895	1992
310	897	1988
311	899	1983
312	901	1978
313	903	1974
314	905	1969
315	907	1965
316	909	1960
317	912	1956
318	914	1951
319	916	1947
320	918	1943
321	921	1939
322	923	1935
323	925	1930
324	928	1927
325	930	1923
326	932	1919
327	934	1914
328	937	1911
329	939	1907
330	941	1903
331	944	1899
332	946	1895
333	948	1890
334	950	1886
335	952	1882
336	954	1878
337	956	1873
338	959	1870
339	961	1866
340	963	1862
341	966	1860
342	969	1856
343	971	1852
344	973	1848
345	976	1845
346	978	1841
347	980	1836
348	982	1833
349	985	1829
350	987	1825
351	989	1821
352	991	1818
353	993	1813
354	996	1809
355	998	1806
356	1000	1802
357	1003	1798
358	1005	1794
359	1008	1792
360	1010	1788
361	1012	1784
362	1016	1783
363	1018	1780
364	1021	1776
365	1024	1774
366	1027	1771
367	1029	1768
368	1033	1766
369	1035	1763
370	1038	1760
371	1041	1757
372	1043	1754
373	1046	1752
374	1049	1749
375	1051	1745
376	1054	1742
377	1057	1739
378	1059	1736
379	1063	1734
380	1065	1731
381	1067	1727
382	1070	1724
383	1073	1721
384	1075	1718
385	1079	1717
386	1082	1714
387	1084	1711
388	1088	1709
389	1090	1706
390	1094	1705
391	1097	1702
392	1099	1698
393	1102	1696
394	1105	1693
395	1108	1690
396	1111	1688
397	1114	1685
398	1116	1682
399	1120	1680
400	1122	1676
401	1125	1673
402	1127	1670
403	1129	1666
404	1132	1663
405	1135	1661
406	1137	1657
407	1140	1654
408	1143	1651
409	1145	1647
410	1147	1644
411	1150	1641
412	1152	1638
413	1155	1634
414	1158	1633
415	1161	1630
416	1163	1626
417	1166	1624
418	1169	1621
419	1171	1618
420	1174	1615
421	1176	1611
422	1179	1609
423	1182	1606
424	1184	1602
425	1186	1598
426	1189	1595
427	1191	1592
428	1193	1588
429	1196	1585
430	1198	1582
431	1200	1578
432	1202	1575
433	1205	1571
434	1207	1568
435	1209	1564
436	1211	1561
437	1214	1558
438	1216	1554
439	1218	1551
440	1221	1548
441	1223	1544
442	1225	1540
443	1228	1537
444	1230	1534
445	1232	1531
446	1234	1527
447	1236	1524
448	1239	1520
449	1241	1517
450	1243	1513
451	1245	1510
452	1247	1506
453	1249	1502
454	1252	1499
455	1254	1496
456	1256	1492
457	1258	1489
458	1260	1486
459	1263	1483
460	1265	1479
461	1268	1476
462	1270	1473
463	1273	1471
464	1276	1468
465	1278	1465
466	1280	1461
467	1283	1458
468	1285	1455
469	1287	1451
470	1289	1448
471	1292	1445
472	1294	1442
473	1296	1438
474	1298	1435
475	1301	1432
476	1303	1428
477	1304	1425
478	1307	1422
479	1309	1418
480	1311	1415
481	1313	1411
482	1316	1409
483	1318	1405
484	1320	1402
485	1322	1399
486	1325	1396
487	1327	1392
488	1329	1389
489	1332	1386
490	1334	1383
491	1336	1380
492	1338	1377
493	1341	1374
494	1344	1371
495	1346	1367
496	1348	1364
497	1350	1361
498	1352	1358
499	1355	1355
500	1357	1352
501	1360	1349
502	1362	1346
503	1365	1343
504	1367	1340
505	1369	1337
506	1372	1334
507	1374	1331
508	1377	1328
509	1379	1325
510	1382	1322
511	1384	1319
512	1387	1316
513	1389	1314
514	1391	1310
515	1393	1307
516	1396	1304
517	1398	1301
518	1400	1297
519	1402	1294
520	1405	1291
521	1406	1288
522	1409	1285
523	1411	1282
524	1413	1278
525	1415	1275
526	1417	1272
527	1420	1269
