iter	Passed	Remaining
0	148	148271
1	155	77655
2	161	53803
3	167	41699
4	174	34737
5	180	29917
6	187	26562
7	193	23951
8	199	21977
9	205	20389
10	212	19080
11	218	18026
12	224	17026
13	230	16234
14	236	15555
15	243	14958
16	248	14357
17	254	13896
18	261	13504
19	267	13100
20	272	12699
21	278	12370
22	284	12073
23	289	11767
24	295	11542
25	301	11312
26	307	11085
27	313	10872
28	319	10682
29	325	10519
30	331	10373
31	337	10210
32	343	10065
33	349	9934
34	356	9819
35	361	9676
36	366	9544
37	373	9449
38	379	9342
39	385	9255
40	391	9162
41	398	9083
42	403	8982
43	409	8898
44	416	8830
45	421	8737
46	427	8672
47	432	8575
48	438	8504
49	444	8445
50	449	8363
51	454	8292
52	460	8232
53	467	8188
54	472	8113
55	478	8065
56	484	8016
57	490	7969
58	496	7918
59	503	7884
60	509	7848
61	514	7789
62	520	7744
63	525	7691
64	532	7653
65	537	7602
66	543	7565
67	549	7524
68	554	7485
69	559	7437
70	566	7413
71	574	7400
72	580	7375
73	586	7344
74	593	7318
75	599	7288
76	604	7251
77	610	7220
78	616	7186
79	621	7150
80	627	7118
81	633	7092
82	639	7061
83	645	7034
84	650	6999
85	656	6972
86	661	6942
87	667	6917
88	673	6896
89	678	6865
90	684	6837
91	690	6818
92	695	6787
93	702	6766
94	708	6753
95	715	6733
96	720	6707
97	726	6682
98	732	6664
99	738	6642
100	743	6618
101	750	6608
102	756	6586
103	763	6577
104	769	6556
105	774	6531
106	779	6509
107	785	6489
108	791	6472
109	798	6457
110	804	6444
111	810	6422
112	815	6402
113	821	6384
114	827	6369
115	835	6363
116	840	6344
117	846	6325
118	853	6315
119	860	6307
120	866	6291
121	872	6280
122	878	6265
123	886	6260
124	892	6248
125	899	6238
126	905	6224
127	910	6204
128	917	6193
129	924	6183
130	930	6171
131	935	6153
132	941	6136
133	947	6122
134	952	6103
135	958	6091
136	966	6089
137	973	6078
138	979	6065
139	984	6050
140	992	6043
141	998	6031
142	1004	6021
143	1010	6007
144	1016	5994
145	1022	5980
146	1027	5964
147	1033	5948
148	1038	5932
149	1044	5917
150	1049	5903
151	1056	5892
152	1062	5881
153	1069	5873
154	1074	5857
155	1080	5847
156	1086	5833
157	1091	5818
158	1098	5810
159	1106	5808
160	1111	5792
161	1117	5779
162	1122	5765
163	1128	5753
164	1134	5742
165	1140	5732
166	1147	5724
167	1153	5710
168	1159	5699
169	1164	5686
170	1170	5672
171	1176	5661
172	1181	5649
173	1188	5642
174	1194	5631
175	1200	5620
176	1207	5613
177	1212	5600
178	1218	5589
179	1224	5578
180	1229	5564
181	1235	5552
182	1241	5542
183	1247	5531
184	1252	5518
185	1257	5505
186	1263	5494
187	1269	5482
188	1274	5469
189	1280	5459
190	1286	5448
191	1292	5438
192	1298	5429
193	1304	5420
194	1310	5409
195	1315	5397
196	1321	5386
197	1327	5375
198	1332	5363
199	1338	5354
200	1344	5345
201	1350	5334
202	1356	5325
203	1361	5313
204	1367	5304
205	1375	5300
206	1380	5288
207	1385	5276
208	1391	5265
209	1397	5257
210	1402	5245
211	1408	5234
212	1413	5223
213	1420	5215
214	1426	5206
215	1431	5196
216	1437	5186
217	1443	5176
218	1449	5168
219	1455	5159
220	1460	5149
221	1466	5137
222	1473	5133
223	1478	5123
224	1484	5114
225	1490	5105
226	1496	5096
227	1503	5090
228	1508	5079
229	1513	5068
230	1519	5059
231	1525	5050
232	1531	5040
233	1537	5033
234	1543	5023
235	1549	5014
236	1555	5006
237	1561	4999
238	1566	4989
239	1573	4983
240	1579	4974
241	1585	4966
242	1592	4962
243	1598	4954
244	1606	4949
245	1611	4938
246	1617	4929
247	1622	4920
248	1627	4909
249	1633	4899
250	1638	4890
251	1644	4880
252	1649	4871
253	1655	4861
254	1661	4853
255	1666	4843
256	1671	4833
257	1678	4827
258	1684	4818
259	1689	4809
260	1695	4801
261	1702	4794
262	1707	4784
263	1712	4775
264	1718	4765
265	1723	4756
266	1730	4750
267	1735	4740
268	1741	4733
269	1747	4723
270	1752	4714
271	1758	4707
272	1764	4698
273	1770	4690
274	1776	4683
275	1781	4674
276	1787	4664
277	1793	4657
278	1799	4649
279	1804	4641
280	1810	4632
281	1815	4622
282	1820	4613
283	1826	4605
284	1833	4598
285	1839	4591
286	1844	4583
287	1851	4576
288	1857	4570
289	1863	4562
290	1869	4554
291	1875	4548
292	1881	4539
293	1887	4531
294	1892	4521
295	1898	4516
296	1905	4510
297	1911	4502
298	1917	4494
299	1922	4486
300	1928	4478
301	1934	4471
302	1940	4462
303	1946	4455
304	1951	4447
305	1957	4439
306	1963	4431
307	1969	4423
308	1974	4415
309	1979	4406
310	1986	4400
311	1992	4392
312	1998	4385
313	2004	4378
314	2010	4371
315	2015	4362
316	2020	4353
317	2025	4344
318	2031	4337
319	2036	4328
320	2043	4322
321	2048	4313
322	2054	4305
323	2059	4297
324	2064	4288
325	2070	4280
326	2075	4272
327	2081	4264
328	2087	4256
329	2092	4248
330	2099	4242
331	2105	4236
332	2111	4230
333	2117	4223
334	2124	4217
335	2129	4208
336	2135	4201
337	2140	4192
338	2146	4185
339	2152	4177
340	2157	4168
341	2162	4161
342	2168	4153
343	2173	4145
344	2179	4138
345	2185	4130
346	2191	4123
347	2197	4116
348	2203	4110
349	2209	4103
350	2215	4096
351	2220	4088
352	2226	4080
353	2231	4072
354	2237	4065
355	2243	4057
356	2249	4051
357	2254	4043
358	2260	4036
359	2266	4029
360	2273	4023
361	2278	4016
362	2284	4008
363	2290	4001
364	2296	3995
365	2303	3989
366	2309	3983
367	2315	3976
368	2321	3969
369	2327	3962
370	2333	3956
371	2340	3950
372	2346	3944
373	2352	3938
374	2357	3929
375	2363	3923
376	2369	3916
377	2376	3911
378	2384	3906
379	2390	3899
380	2396	3892
381	2401	3885
382	2407	3877
383	2411	3869
384	2417	3862
385	2424	3856
386	2429	3848
387	2436	3842
388	2441	3835
389	2446	3827
390	2452	3820
391	2460	3815
392	2466	3809
393	2472	3802
394	2477	3794
395	2482	3786
396	2488	3780
397	2493	3772
398	2500	3766
399	2506	3759
400	2512	3753
401	2517	3745
402	2523	3737
403	2528	3730
404	2534	3723
405	2539	3715
406	2545	3708
407	2550	3701
408	2556	3693
409	2561	3686
410	2567	3679
411	2572	3671
412	2578	3664
413	2584	3657
414	2589	3650
415	2595	3643
416	2602	3637
417	2608	3631
418	2613	3623
419	2619	3617
420	2625	3610
421	2630	3602
422	2636	3596
423	2642	3589
424	2648	3583
425	2653	3575
426	2659	3568
427	2665	3562
428	2671	3555
429	2677	3549
430	2683	3543
431	2690	3537
432	2697	3532
433	2704	3526
434	2709	3519
435	2714	3511
436	2720	3504
437	2726	3497
438	2731	3490
439	2737	3483
440	2742	3476
441	2748	3469
442	2753	3462
443	2759	3455
444	2765	3449
445	2771	3442
446	2777	3436
447	2783	3429
448	2789	3422
449	2795	3416
450	2801	3410
451	2807	3404
452	2813	3397
453	2819	3390
454	2825	3384
455	2831	3378
456	2837	3371
457	2843	3364
458	2848	3357
459	2853	3350
460	2860	3344
461	2866	3338
462	2871	3330
463	2878	3324
464	2884	3318
465	2890	3312
466	2895	3304
467	2901	3298
468	2908	3293
469	2914	3286
470	2919	3279
471	2924	3271
472	2930	3264
473	2936	3258
474	2941	3251
475	2947	3244
476	2952	3237
477	2958	3230
478	2963	3223
479	2969	3216
480	2974	3209
481	2981	3203
482	2987	3198
483	2994	3192
484	2999	3185
485	3005	3178
486	3012	3173
487	3018	3166
488	3023	3159
489	3028	3152
490	3034	3145
491	3039	3138
492	3045	3131
493	3050	3124
494	3055	3117
495	3060	3110
496	3066	3103
497	3072	3096
498	3077	3089
499	3083	3083
500	3087	3075
501	3093	3068
502	3098	3061
503	3104	3054
504	3110	3049
505	3116	3042
506	3122	3035
507	3127	3028
508	3133	3022
509	3139	3016
510	3144	3009
511	3151	3003
512	3157	2997
513	3163	2991
514	3169	2984
515	3174	2978
516	3180	2971
517	3186	2964
518	3191	2958
519	3197	2951
520	3203	2945
521	3209	2938
522	3215	2932
523	3221	2926
524	3226	2919
525	3232	2912
526	3237	2906
527	3243	2899
528	3249	2893
529	3256	2887
530	3262	2881
531	3269	2876
532	3275	2869
533	3280	2862
534	3286	2856
535	3292	2850
536	3298	2843
537	3304	2837
538	3310	2831
539	3315	2824
